8.555100e+06	95
8.557900e+06	1804212609
8.558600e+06	140
8.560700e+06	124
8.562500e+06	147
8.562800e+06	64
8.564400e+06	139
8.564500e+06	474866315
8.565100e+06	148
8.565400e+06	154
8.566200e+06	111
8.566800e+06	3303338876
8.567500e+06	145
8.569400e+06	144
8.570100e+06	50
8.570300e+06	88
8.574400e+06	69
8.576900e+06	103
8.578200e+06	2723643411
8.578500e+06	107
8.589500e+06	136
8.591200e+06	116
8.594300e+06	150
8.596000e+06	7
8.598400e+06	51
8.603800e+06	121
8.604200e+06	130
8.604900e+06	77
8.607100e+06	128
8.616500e+06	5
8.619300e+06	122
8.619800e+06	146
8.634600e+06	87
8.645900e+06	83
8.646000e+06	84
8.651300e+06	125
8.656400e+06	126
8.661700e+06	1239307652
8.678200e+06	2879167783
8.692000e+06	105
8.692900e+06	132
8.699000e+06	134
8.748700e+06	110
1.535770e+07	2159618959
